City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tolstoy-yurt,43.4444,45.7722,293.33,73,75,2.0,RU,1686078520
84,aasiaat,68.7098,-52.8699,272.64,86,100,2.48,GL,1686078200
85,barkly west,-28.5354,24.5215,287.34,21,0,3.93,ZA,1686078520
86,anadyr,64.75,177.4833,280.43,81,20,7.0,RU,1686078250
87,antsiranana,-12.2787,49.2917,298.1,82,32,7.73,MG,1686078440
88,krasnoturansk,54.3186,91.5639,291.35,62,5,1.32,RU,1686078521
89,zhongxing,33.7039,118.6792,294.16,81,100,3.41,CN,1686078521
90,camabatela,-8.1881,15.375,292.09,53,100,0.35,AO,1686078521
91,ulsteinvik,62.3432,5.8487,284.76,79,1,1.34,NO,1686078413
92,khorixas,-20.3667,14.9667,290.51,27,0,1.74,NA,1686078521
93,miramichi,47.0043,-65.4654,281.44,98,100,5.48,CA,1686078521
94,mount gambier,-37.8333,140.7667,285.56,90,99,4.29,AU,1686078361
95,mikhaylovka,50.06,43.2379,288.95,64,98,2.96,RU,1686078522
96,thompson,55.7435,-97.8558,292.24,100,100,1.54,CA,1686078325
97,namibe,-15.1961,12.1522,292.07,75,6,5.43,AO,1686078414
98,alice springs,-23.7,133.8833,292.9,52,59,1.54,AU,1686078406
99,st. john's,47.5649,-52.7093,283.9,98,100,5.66,CA,1686078258
100,slave lake,55.2834,-114.769,287.14,58,0,2.06,CA,1686078345
101,karratha,-20.7377,116.8463,291.03,48,54,5.23,AU,1686078522
102,haiku-pauwela,20.9219,-156.3051,299.16,64,20,8.23,US,1686078337
103,colonia,50.9333,6.95,297.49,42,0,2.57,DE,1686078084
104,udachny,66.4167,112.4,275.07,74,9,2.77,RU,1686078366
105,sur,22.5667,59.5289,307.49,40,0,3.97,OM,1686078467
106,calvinia,-31.4707,19.776,286.35,34,0,2.54,ZA,1686078523
107,saint-louis du nord,19.9333,-72.7167,302.75,74,100,3.99,HT,1686078523
108,crane,31.3974,-102.3501,300.65,35,100,3.26,US,1686078250
109,onega,63.9061,38.1404,277.16,79,64,2.21,RU,1686078523
110,barranca,-10.75,-77.7667,297.0,67,5,3.88,PE,1686078524
111,astrakhan,46.3497,48.0408,293.1,42,0,4.02,RU,1686078524
112,fortaleza,-3.7227,-38.5247,301.22,74,20,7.2,BR,1686078307
113,bundi,25.4417,75.6417,308.78,21,65,1.32,IN,1686078524
114,sorong,-0.8833,131.25,298.97,88,100,3.14,ID,1686078524
